timestamp,device,stage_pre_ms,inference_ms,stage_post_ms,total_ms,fps,num_detections
2025-11-07 02:46:02,Laptop,13.35,37.39,0.45,51.20,19.53,0
2025-11-07 02:46:02,Laptop,9.09,25.44,0.39,34.92,28.64,0
2025-11-07 02:46:02,Laptop,3.78,10.59,0.78,15.15,66.02,0
2025-11-07 02:46:02,Laptop,8.18,22.89,0.58,31.65,31.59,0
2025-11-07 02:46:02,Laptop,7.00,19.60,0.40,26.99,37.04,0
2025-11-07 02:46:02,Laptop,7.33,20.53,0.07,27.93,35.81,0
2025-11-07 02:46:02,Laptop,3.04,8.50,0.81,12.35,80.95,0
2025-11-07 02:46:02,Laptop,3.80,10.65,0.75,15.19,65.81,0
2025-11-07 02:46:02,Laptop,5.33,14.92,0.53,20.77,48.14,0
2025-11-07 02:46:03,Laptop,6.01,16.82,0.39,23.22,43.06,0
2025-11-07 02:46:03,Laptop,7.12,19.93,0.20,27.24,36.70,0
2025-11-07 02:46:03,Laptop,6.74,18.88,0.10,25.72,38.88,0
2025-11-07 02:46:03,Laptop,5.49,15.37,0.74,21.60,46.29,0
2025-11-07 02:46:03,Laptop,7.70,21.57,0.25,29.53,33.87,0
2025-11-07 02:46:03,Laptop,7.91,22.14,0.15,30.20,33.11,0
2025-11-07 02:46:03,Laptop,5.83,16.32,0.00,22.15,45.15,0
2025-11-07 02:46:03,Laptop,8.24,23.08,0.37,31.69,31.56,0
2025-11-07 02:46:03,Laptop,9.96,27.90,0.19,38.05,26.28,0
2025-11-07 02:46:03,Laptop,9.26,25.94,0.00,35.20,28.41,0
2025-11-07 02:46:03,Laptop,7.88,22.06,0.36,30.31,33.00,0
2025-11-07 02:46:03,Laptop,7.20,20.17,0.00,27.37,36.53,0
2025-11-07 02:46:03,Laptop,9.25,25.89,0.80,35.93,27.83,0
2025-11-07 02:46:03,Laptop,8.45,23.66,0.76,32.87,30.42,0
2025-11-07 02:46:03,Laptop,11.68,32.69,0.56,44.93,22.26,0
2025-11-07 02:46:03,Laptop,10.72,30.02,0.05,40.79,24.51,0
2025-11-07 02:46:04,Laptop,6.18,17.30,0.00,23.48,42.59,0
2025-11-07 02:46:04,Laptop,7.48,20.93,0.00,28.41,35.20,0
2025-11-07 02:46:04,Laptop,12.11,33.90,0.00,46.00,21.74,0
2025-11-07 02:46:04,Laptop,6.49,18.16,0.00,24.65,40.56,0
2025-11-07 02:46:04,Laptop,4.75,13.31,0.00,18.06,55.36,0
2025-11-07 02:46:04,Laptop,3.76,10.52,0.78,15.06,66.40,0
2025-11-07 02:46:04,Laptop,5.65,15.81,0.72,22.18,45.09,0
2025-11-07 02:46:04,Laptop,5.96,16.69,0.39,23.04,43.41,0
2025-11-07 02:46:04,Laptop,6.92,19.37,1.00,27.29,36.65,0
2025-11-07 02:46:04,Laptop,7.91,22.16,0.34,30.42,32.88,0
2025-11-07 02:46:04,Laptop,8.08,22.61,0.53,31.22,32.03,0
2025-11-07 02:46:04,Laptop,7.59,21.24,0.18,29.00,34.48,0
2025-11-07 02:46:04,Laptop,6.12,17.14,0.00,23.26,43.00,0
2025-11-07 02:46:04,Laptop,7.53,21.09,0.56,29.17,34.28,0
2025-11-07 02:46:04,Laptop,7.43,20.81,0.34,28.59,34.97,0
2025-11-07 02:46:04,Laptop,10.16,28.43,0.40,38.99,25.65,0
2025-11-07 02:46:04,Laptop,5.85,16.37,0.81,23.03,43.42,0
2025-11-07 02:46:05,Laptop,7.57,21.19,0.44,29.20,34.24,0
2025-11-07 02:46:05,Laptop,12.95,36.27,0.81,50.03,19.99,0
2025-11-07 02:46:05,Laptop,8.36,23.41,0.29,32.06,31.19,0
2025-11-07 02:46:05,Laptop,8.33,23.32,0.36,32.01,31.24,0
2025-11-07 02:46:05,Laptop,9.42,26.37,0.22,36.01,27.77,0
2025-11-07 02:46:05,Laptop,7.40,20.72,0.22,28.35,35.28,0
2025-11-07 02:46:05,Laptop,5.89,16.50,0.58,22.97,43.53,0
2025-11-07 02:46:05,Laptop,7.43,20.81,1.16,29.40,34.01,0
2025-11-07 02:46:05,Laptop,13.35,37.39,0.51,51.26,19.51,0
2025-11-07 02:46:05,Laptop,8.15,22.82,0.37,31.34,31.91,0
2025-11-07 02:46:05,Laptop,8.01,22.43,0.13,30.57,32.71,0
2025-11-07 02:46:05,Laptop,7.43,20.79,0.37,28.59,34.98,0
2025-11-07 02:46:05,Laptop,8.30,23.23,0.05,31.58,31.67,0
2025-11-07 02:46:05,Laptop,6.80,19.05,0.32,26.17,38.21,0
2025-11-07 02:46:05,Laptop,5.26,14.73,0.00,20.00,50.01,0
2025-11-07 02:46:05,Laptop,7.74,21.67,0.00,29.41,34.00,0
2025-11-07 02:46:05,Laptop,5.69,15.92,0.16,21.77,45.94,0
2025-11-07 02:46:06,Laptop,4.44,12.44,1.23,18.11,55.22,0
2025-11-07 02:46:06,Laptop,5.51,15.44,0.00,20.95,47.73,0
2025-11-07 02:46:06,Laptop,6.30,17.65,0.30,24.25,41.23,0
2025-11-07 02:46:06,Laptop,5.87,16.44,0.57,22.88,43.70,0
2025-11-07 02:46:06,Laptop,10.93,30.62,0.54,42.09,23.76,0
2025-11-07 02:46:06,Laptop,19.05,53.33,0.18,72.56,13.78,0
2025-11-07 02:46:06,Laptop,9.26,25.94,0.00,35.20,28.41,0
2025-11-07 02:46:06,Laptop,9.70,27.16,0.15,37.01,27.02,0
2025-11-07 02:46:06,Laptop,13.76,38.52,0.04,52.32,19.11,0
2025-11-07 02:46:06,Laptop,7.59,21.24,0.00,28.82,34.69,0
2025-11-07 02:46:06,Laptop,7.34,20.55,0.55,28.44,35.16,0
2025-11-07 02:46:06,Laptop,8.06,22.55,0.24,30.85,32.42,0
2025-11-07 02:46:06,Laptop,7.59,21.26,0.69,29.54,33.86,0
2025-11-07 02:46:06,Laptop,10.82,30.31,0.92,42.06,23.78,0
2025-11-07 02:46:06,Laptop,11.04,30.91,0.00,41.95,23.84,0
2025-11-07 02:46:07,Laptop,11.97,33.51,0.33,45.80,21.83,0
2025-11-07 02:46:07,Laptop,7.96,22.29,0.13,30.38,32.92,0
2025-11-07 02:46:07,Laptop,6.95,19.46,0.34,26.76,37.37,0
2025-11-07 02:46:07,Laptop,7.44,20.83,0.33,28.61,34.96,0
2025-11-07 02:46:07,Laptop,10.39,29.09,0.28,39.76,25.15,0
2025-11-07 02:46:07,Laptop,8.98,25.13,0.25,34.36,29.10,0
2025-11-07 02:46:07,Laptop,8.82,24.70,0.05,33.57,29.79,0
2025-11-07 02:46:07,Laptop,11.85,33.18,0.26,45.29,22.08,0
2025-11-07 02:46:07,Laptop,7.62,21.34,0.45,29.40,34.01,0
2025-11-07 02:46:07,Laptop,5.80,16.24,0.62,22.66,44.14,0
2025-11-07 02:46:07,Laptop,9.96,27.89,0.81,38.66,25.87,0
2025-11-07 02:46:07,Laptop,13.42,37.59,0.00,51.01,19.60,0
2025-11-07 02:46:07,Laptop,9.75,27.30,0.12,37.17,26.91,0
2025-11-07 02:46:07,Laptop,7.35,20.57,0.42,28.33,35.29,0
2025-11-07 02:46:07,Laptop,9.02,25.26,0.70,34.98,28.59,0
2025-11-07 02:46:07,Laptop,6.10,17.07,0.68,23.85,41.92,0
2025-11-07 02:46:07,Laptop,5.56,15.57,0.40,21.54,46.43,0
2025-11-07 02:46:08,Laptop,8.92,24.98,0.81,34.71,28.81,0
2025-11-07 02:46:08,Laptop,10.13,28.36,0.39,38.87,25.73,0
2025-11-07 02:46:08,Laptop,6.30,17.65,0.35,24.30,41.16,0
2025-11-07 02:46:08,Laptop,8.91,24.95,0.10,33.97,29.44,0
2025-11-07 02:46:08,Laptop,7.77,21.75,0.15,29.67,33.71,0
2025-11-07 02:46:08,Laptop,4.39,12.29,0.73,17.41,57.44,0
2025-11-07 02:46:08,Laptop,13.26,37.12,0.46,50.84,19.67,0
2025-11-07 02:46:08,Laptop,10.77,30.15,0.47,41.38,24.17,0
2025-11-07 02:46:08,Laptop,11.61,32.52,0.74,44.87,22.29,0
2025-11-07 02:46:08,Laptop,8.58,24.03,0.82,33.43,29.91,0
2025-11-07 02:46:08,Laptop,9.54,26.71,0.56,36.82,27.16,0
2025-11-07 02:46:08,Laptop,10.30,28.85,0.00,39.15,25.54,0
2025-11-07 02:46:08,Laptop,8.13,22.78,0.38,31.29,31.96,0
2025-11-07 02:46:08,Laptop,10.52,29.45,0.52,40.49,24.70,0
2025-11-07 02:46:08,Laptop,8.26,23.14,0.50,31.90,31.35,0
2025-11-07 02:46:08,Laptop,6.56,18.36,0.00,24.92,40.14,0
2025-11-07 02:46:09,Laptop,9.75,27.31,0.31,37.37,26.76,0
2025-11-07 02:46:09,Laptop,10.07,28.20,0.35,38.61,25.90,0
2025-11-07 02:46:09,Laptop,11.08,31.03,0.40,42.51,23.53,0
2025-11-07 02:46:09,Laptop,6.91,19.34,0.39,26.64,37.53,0
2025-11-07 02:46:09,Laptop,6.23,17.45,0.79,24.47,40.86,0
2025-11-07 02:46:09,Laptop,7.73,21.64,0.79,30.15,33.16,0
2025-11-07 02:46:09,Laptop,10.28,28.78,0.28,39.34,25.42,0
2025-11-07 02:46:09,Laptop,9.69,27.13,0.77,37.60,26.60,0
2025-11-07 02:46:09,Laptop,12.73,35.65,0.81,49.20,20.33,0
2025-11-07 02:46:09,Laptop,14.35,40.17,0.00,54.52,18.34,0
2025-11-07 02:46:09,Laptop,10.23,28.64,0.20,39.07,25.60,0
2025-11-07 02:46:09,Laptop,9.67,27.08,0.78,37.52,26.65,0
2025-11-07 02:46:09,Laptop,8.56,23.96,0.00,32.52,30.75,0
2025-11-07 02:46:09,Laptop,12.22,34.22,0.55,47.00,21.28,0
2025-11-07 02:46:09,Laptop,11.75,32.91,0.52,45.19,22.13,0
2025-11-07 02:46:09,Laptop,8.11,22.70,0.28,31.08,32.18,0
2025-11-07 02:46:10,Laptop,14.82,41.51,0.04,56.37,17.74,1
2025-11-07 02:46:10,Laptop,13.87,38.82,0.58,53.27,18.77,0
2025-11-07 02:46:10,Laptop,6.72,18.81,0.65,26.18,38.20,0
2025-11-07 02:46:10,Laptop,9.64,26.98,0.37,37.00,27.03,0
2025-11-07 02:46:10,Laptop,6.63,18.56,0.33,25.52,39.18,0
2025-11-07 02:46:10,Laptop,8.61,24.11,0.25,32.97,30.33,0
2025-11-07 02:46:10,Laptop,6.92,19.38,0.07,26.36,37.93,0
2025-11-07 02:46:10,Laptop,6.78,18.99,0.00,25.78,38.79,0
2025-11-07 02:46:10,Laptop,6.18,17.31,0.07,23.56,42.44,0
2025-11-07 02:46:10,Laptop,12.62,35.35,0.31,48.28,20.71,1
2025-11-07 02:46:10,Laptop,9.32,26.11,0.75,36.18,27.64,0
2025-11-07 02:46:10,Laptop,25.03,70.07,0.41,95.51,10.47,1
2025-11-07 02:46:10,Laptop,12.94,36.24,0.00,49.19,20.33,1
2025-11-07 02:46:10,Laptop,6.77,18.97,0.40,26.14,38.25,0
2025-11-07 02:46:10,Laptop,7.72,21.62,0.89,30.23,33.08,0
2025-11-07 02:46:10,Laptop,10.12,28.33,0.00,38.45,26.01,0
2025-11-07 02:46:11,Laptop,10.82,30.29,0.00,41.11,24.32,1
2025-11-07 02:46:11,Laptop,13.97,39.12,0.00,53.09,18.84,0
2025-11-07 02:46:11,Laptop,10.69,29.92,0.15,40.76,24.54,0
2025-11-07 02:46:11,Laptop,10.25,28.70,0.00,38.95,25.68,1
2025-11-07 02:46:11,Laptop,13.33,37.31,0.13,50.77,19.70,1
2025-11-07 02:46:11,Laptop,8.67,24.29,0.41,33.36,29.97,1
2025-11-07 02:46:11,Laptop,9.13,25.57,0.91,35.61,28.08,1
2025-11-07 02:46:11,Laptop,11.82,33.10,0.00,44.91,22.26,1
2025-11-07 02:46:11,Laptop,13.11,36.71,0.40,50.23,19.91,1
2025-11-07 02:46:11,Laptop,12.87,36.04,0.00,48.91,20.45,1
2025-11-07 02:46:11,Laptop,12.34,34.55,0.00,46.89,21.33,1
2025-11-07 02:46:11,Laptop,9.60,26.87,0.00,36.47,27.42,1
2025-11-07 02:46:11,Laptop,9.45,26.46,0.34,36.24,27.59,1
2025-11-07 02:46:11,Laptop,11.11,31.11,0.00,42.22,23.68,1
2025-11-07 02:46:11,Laptop,10.40,29.11,0.36,39.87,25.08,1
2025-11-07 02:46:12,Laptop,14.07,39.39,0.30,53.76,18.60,1
2025-11-07 02:46:12,Laptop,10.25,28.71,0.38,39.34,25.42,1
2025-11-07 02:46:12,Laptop,11.32,31.69,0.05,43.05,23.23,1
2025-11-07 02:46:12,Laptop,8.28,23.19,0.00,31.47,31.77,1
2025-11-07 02:46:12,Laptop,10.70,29.95,0.36,41.01,24.38,1
2025-11-07 02:46:12,Laptop,7.94,22.25,0.18,30.37,32.93,1
2025-11-07 02:46:12,Laptop,6.90,19.33,0.00,26.24,38.12,1
2025-11-07 02:46:12,Laptop,8.54,23.91,0.35,32.80,30.49,1
2025-11-07 02:46:12,Laptop,8.05,22.55,0.20,30.80,32.46,1
2025-11-07 02:46:12,Laptop,7.66,21.45,0.25,29.36,34.06,1
2025-11-07 02:46:12,Laptop,5.51,15.44,0.91,21.86,45.74,1
2025-11-07 02:46:12,Laptop,16.08,45.02,0.05,61.15,16.35,1
2025-11-07 02:46:12,Laptop,13.19,36.93,0.18,50.30,19.88,1
2025-11-07 02:46:12,Laptop,8.50,23.80,0.00,32.30,30.96,1
2025-11-07 02:46:12,Laptop,8.17,22.87,0.44,31.48,31.77,1
2025-11-07 02:46:12,Laptop,8.44,23.64,0.06,32.14,31.11,1
2025-11-07 02:46:12,Laptop,8.92,24.97,0.09,33.98,29.43,1
2025-11-07 02:46:13,Laptop,7.15,20.01,0.00,27.16,36.82,1
2025-11-07 02:46:13,Laptop,6.68,18.71,0.00,25.40,39.38,1
2025-11-07 02:46:13,Laptop,8.55,23.93,0.25,32.73,30.55,1
2025-11-07 02:46:13,Laptop,9.86,27.61,0.43,37.91,26.38,1
2025-11-07 02:46:13,Laptop,8.08,22.62,0.36,31.07,32.19,1
2025-11-07 02:46:13,Laptop,7.52,21.07,0.32,28.91,34.59,1
2025-11-07 02:46:13,Laptop,8.24,23.08,0.25,31.58,31.67,1
2025-11-07 02:46:13,Laptop,11.56,32.37,0.40,44.33,22.56,1
2025-11-07 02:46:13,Laptop,8.25,23.11,0.39,31.75,31.49,1
2025-11-07 02:46:13,Laptop,11.27,31.55,0.44,43.26,23.12,1
2025-11-07 02:46:13,Laptop,11.37,31.83,0.47,43.67,22.90,1
2025-11-07 02:46:13,Laptop,9.79,27.41,0.51,37.72,26.51,0
2025-11-07 02:46:13,Laptop,9.84,27.54,0.34,37.71,26.52,0
2025-11-07 02:46:13,Laptop,6.92,19.36,0.78,27.06,36.96,0
2025-11-07 02:46:13,Laptop,12.39,34.68,0.74,47.81,20.92,1
2025-11-07 02:46:13,Laptop,10.11,28.31,0.00,38.42,26.03,1
2025-11-07 02:46:14,Laptop,12.05,33.73,0.80,46.57,21.47,1
2025-11-07 02:46:14,Laptop,13.73,38.43,0.79,52.95,18.89,1
2025-11-07 02:46:14,Laptop,11.89,33.31,0.00,45.20,22.12,1
2025-11-07 02:46:14,Laptop,10.91,30.54,0.37,41.81,23.92,1
2025-11-07 02:46:14,Laptop,10.42,29.17,0.35,39.94,25.04,0
2025-11-07 02:46:14,Laptop,8.60,24.09,0.60,33.29,30.04,1
2025-11-07 02:46:14,Laptop,13.02,36.45,0.58,50.04,19.98,1
2025-11-07 02:46:14,Laptop,10.08,28.22,0.40,38.71,25.84,1
2025-11-07 02:46:14,Laptop,6.33,17.71,0.96,25.00,40.00,1
2025-11-07 02:46:14,Laptop,11.84,33.15,0.76,45.75,21.86,1
2025-11-07 02:46:14,Laptop,7.77,21.77,0.00,29.54,33.85,1
2025-11-07 02:46:14,Laptop,12.72,35.62,0.65,49.00,20.41,1
2025-11-07 02:46:14,Laptop,6.38,17.88,1.04,25.30,39.53,1
2025-11-07 02:46:14,Laptop,11.20,31.35,0.31,42.86,23.33,1
2025-11-07 02:46:14,Laptop,8.05,22.55,0.19,30.79,32.48,1
2025-11-07 02:46:15,Laptop,5.65,15.81,0.49,21.96,45.55,1
2025-11-07 02:46:15,Laptop,8.51,23.82,0.12,32.45,30.82,1
2025-11-07 02:46:15,Laptop,12.58,35.21,0.79,48.58,20.59,1
2025-11-07 02:46:15,Laptop,10.09,28.25,0.41,38.76,25.80,1
2025-11-07 02:46:15,Laptop,7.86,22.02,0.35,30.23,33.08,1
2025-11-07 02:46:15,Laptop,6.99,19.58,0.50,27.07,36.93,1
2025-11-07 02:46:15,Laptop,9.62,26.92,0.39,36.93,27.08,1
2025-11-07 02:46:15,Laptop,6.00,16.81,0.20,23.01,43.46,1
2025-11-07 02:46:15,Laptop,5.25,14.70,0.15,20.10,49.76,1
2025-11-07 02:46:15,Laptop,4.50,12.61,0.20,17.31,57.78,0
2025-11-07 02:46:15,Laptop,4.75,13.30,0.15,18.20,54.94,0
2025-11-07 02:46:15,Laptop,5.13,14.36,0.15,19.64,50.91,0
2025-11-07 02:46:15,Laptop,4.72,13.23,0.15,18.10,55.25,0
2025-11-07 02:46:15,Laptop,4.62,12.93,0.25,17.80,56.17,0
2025-11-07 02:46:15,Laptop,4.96,13.88,0.15,18.99,52.65,0
2025-11-07 02:46:15,Laptop,4.75,13.30,0.15,18.20,54.95,0
2025-11-07 02:46:15,Laptop,4.70,13.17,0.15,18.03,55.47,0
2025-11-07 02:46:16,Laptop,5.25,14.71,0.15,20.11,49.73,0
2025-11-07 02:46:16,Laptop,5.00,14.00,0.15,19.14,52.24,0
2025-11-07 02:46:16,Laptop,5.50,15.41,0.15,21.06,47.48,0
2025-11-07 02:46:16,Laptop,8.25,23.09,0.20,31.54,31.71,0
2025-11-07 02:46:16,Laptop,8.14,22.78,0.15,31.07,32.19,0
2025-11-07 02:46:16,Laptop,8.00,22.40,0.15,30.56,32.72,0
2025-11-07 02:46:16,Laptop,8.50,23.81,0.15,32.47,30.80,0
2025-11-07 02:46:16,Laptop,8.00,22.39,0.18,30.56,32.72,0
2025-11-07 02:46:16,Laptop,7.74,21.67,0.20,29.61,33.77,0
2025-11-07 02:46:16,Laptop,6.76,18.92,0.44,26.11,38.30,0
2025-11-07 02:46:16,Laptop,3.41,9.56,0.79,13.77,72.65,0
2025-11-07 02:46:16,Laptop,5.58,15.63,0.00,21.21,47.14,0
2025-11-07 02:46:16,Laptop,6.03,16.87,0.39,23.30,42.93,0
2025-11-07 02:46:16,Laptop,4.51,12.62,0.79,17.92,55.80,0
2025-11-07 02:46:16,Laptop,4.24,11.87,0.46,16.57,60.34,0
2025-11-07 02:46:16,Laptop,4.10,11.47,0.00,15.57,64.22,0
2025-11-07 02:46:17,Laptop,7.74,21.67,0.36,29.76,33.60,0
2025-11-07 02:46:17,Laptop,5.20,14.57,0.00,19.77,50.57,0
2025-11-07 02:46:17,Laptop,8.68,24.31,0.34,33.33,30.00,0
2025-11-07 02:46:17,Laptop,5.96,16.70,0.35,23.02,43.44,0
2025-11-07 02:46:17,Laptop,9.39,26.30,0.44,36.13,27.68,0
2025-11-07 02:46:17,Laptop,4.92,13.79,0.80,19.52,51.24,1
2025-11-07 02:46:17,Laptop,5.84,16.34,1.39,23.57,42.43,0
2025-11-07 02:46:17,Laptop,8.53,23.88,0.64,33.06,30.25,0
2025-11-07 02:46:17,Laptop,7.94,22.23,0.78,30.95,32.31,1
2025-11-07 02:46:17,Laptop,8.07,22.60,0.00,30.67,32.61,1
2025-11-07 02:46:17,Laptop,4.98,13.93,0.76,19.67,50.84,1
2025-11-07 02:46:17,Laptop,6.01,16.82,0.00,22.83,43.80,0
2025-11-07 02:46:17,Laptop,4.26,11.94,0.00,16.20,61.72,0
2025-11-07 02:46:17,Laptop,4.93,13.81,0.00,18.74,53.37,1
2025-11-07 02:46:17,Laptop,12.94,36.24,0.05,49.24,20.31,1
2025-11-07 02:46:17,Laptop,7.03,19.68,0.77,27.48,36.39,1
2025-11-07 02:46:17,Laptop,7.49,20.96,0.00,28.44,35.16,1
2025-11-07 02:46:18,Laptop,5.29,14.80,0.74,20.83,48.02,1
2025-11-07 02:46:18,Laptop,4.39,12.28,0.81,17.48,57.22,1
2025-11-07 02:46:18,Laptop,4.91,13.74,0.84,19.49,51.31,1
2025-11-07 02:46:18,Laptop,5.76,16.13,0.00,21.89,45.69,1
2025-11-07 02:46:18,Laptop,3.85,10.78,0.80,15.44,64.77,1
2025-11-07 02:46:18,Laptop,7.81,21.86,0.00,29.66,33.71,1
2025-11-07 02:46:18,Laptop,5.73,16.04,0.79,22.57,44.31,1
2025-11-07 02:46:18,Laptop,7.94,22.24,0.56,30.75,32.52,1
2025-11-07 02:46:18,Laptop,12.14,33.98,0.80,46.91,21.32,1
2025-11-07 02:46:18,Laptop,10.66,29.85,0.60,41.11,24.32,1
2025-11-07 02:46:18,Laptop,12.51,35.03,0.00,47.54,21.03,1
2025-11-07 02:46:18,Laptop,8.34,23.35,0.79,32.49,30.78,1
2025-11-07 02:46:18,Laptop,7.23,20.25,0.96,28.44,35.16,1
2025-11-07 02:46:18,Laptop,11.24,31.46,0.49,43.18,23.16,1
2025-11-07 02:46:18,Laptop,9.32,26.10,0.30,35.72,28.00,1
2025-11-07 02:46:18,Laptop,7.35,20.57,0.00,27.91,35.82,1
2025-11-07 02:46:19,Laptop,10.13,28.36,0.34,38.83,25.76,1
2025-11-07 02:46:19,Laptop,12.13,33.96,0.00,46.09,21.70,1
2025-11-07 02:46:19,Laptop,6.12,17.14,0.00,23.26,43.00,0
2025-11-07 02:46:19,Laptop,5.22,14.60,0.00,19.82,50.45,0
2025-11-07 02:46:19,Laptop,3.99,11.18,1.03,16.21,61.71,0
2025-11-07 02:46:19,Laptop,7.33,20.53,0.21,28.08,35.62,0
2025-11-07 02:46:19,Laptop,5.33,14.92,0.00,20.25,49.37,0
2025-11-07 02:46:19,Laptop,7.45,20.85,0.00,28.29,35.34,0
2025-11-07 02:46:19,Laptop,6.47,18.11,0.20,24.78,40.36,1
2025-11-07 02:46:19,Laptop,7.72,21.60,0.40,29.72,33.65,1
2025-11-07 02:46:19,Laptop,6.93,19.39,0.79,27.11,36.89,1
2025-11-07 02:46:19,Laptop,6.09,17.06,0.80,23.95,41.75,1
2025-11-07 02:46:19,Laptop,8.20,22.95,0.80,31.94,31.30,1
2025-11-07 02:46:19,Laptop,7.40,20.71,0.40,28.51,35.08,1
2025-11-07 02:46:19,Laptop,6.64,18.61,0.00,25.25,39.60,1
2025-11-07 02:46:19,Laptop,11.77,32.95,0.55,45.27,22.09,1
2025-11-07 02:46:20,Laptop,6.91,19.34,0.00,26.24,38.11,1
2025-11-07 02:46:20,Laptop,10.48,29.33,0.48,40.29,24.82,1
2025-11-07 02:46:20,Laptop,5.91,16.55,0.40,22.87,43.73,1
2025-11-07 02:46:20,Laptop,5.55,15.55,0.00,21.10,47.39,1
2025-11-07 02:46:20,Laptop,6.27,17.55,0.25,24.07,41.55,1
2025-11-07 02:46:20,Laptop,5.79,16.20,0.31,22.30,44.85,1
2025-11-07 02:46:20,Laptop,8.95,25.06,0.00,34.00,29.41,1
2025-11-07 02:46:20,Laptop,7.54,21.12,0.08,28.75,34.79,1
2025-11-07 02:46:20,Laptop,4.87,13.64,0.79,19.30,51.82,1
2025-11-07 02:46:20,Laptop,6.22,17.41,0.00,23.63,42.32,1
2025-11-07 02:46:20,Laptop,3.09,8.65,0.79,12.52,79.86,1
